gender,bin,n,mean_pred,mean_gt,bias,mse,weighted_err,err_contrib,w_mass_frac
F,"[0.00,0.05)",142,0.28491907987899184,0.02321862676056338,0.2617004531184285,0.07270030864262027,0.07182123041453285,0.004760030926680653,0.06627609829582469
F,"[0.05,0.10)",172,0.2835925575484047,0.0758656976744186,0.2077268598739861,0.04466621765227636,0.04359703482733147,0.006758107735328088,0.15501301320362632
F,"[0.10,0.15)",156,0.28949671703484736,0.12378988461538462,0.16570683241946274,0.028921185954060194,0.02866280272743134,0.005798351577836514,0.20229534539856014
F,"[0.15,0.20)",96,0.2939895739157858,0.17173326041666667,0.12225631349911911,0.017354497217631236,0.01701462643504269,0.0027644548155302388,0.162475198975669
F,"[0.20,0.30)",108,0.3119317230835258,0.24083294444444442,0.07109877863908137,0.006707469023037127,0.006444327497822934,0.001574839579566845,0.24437609356428083
F,"[0.30,0.50)",53,0.3245929610462968,0.3543146226415095,-0.029721661595212667,0.0024967084698260455,0.0027284360063899974,0.0004626452066300025,0.16956425056203897
M,"[0.00,0.05)",828,0.29050530061082924,0.018468322463768116,0.2720369781470611,0.07828166785872069,0.07677905848910042,0.02866393333781291,0.3733300967982311
M,"[0.05,0.10)",199,0.30355147475100436,0.0708087688442211,0.23274270590678325,0.05892017104251304,0.05789105858367576,0.010442630991139474,0.1803841775676928
M,"[0.10,0.15)",111,0.31536399650403196,0.12103036036036036,0.1943336361436716,0.042175286108559036,0.041766317476115825,0.006228928567335795,0.1491376052221464
M,"[0.15,0.20)",73,0.3165765427562095,0.1728620821917808,0.1437144605644287,0.027367019860264973,0.02674039456054344,0.003503391731234927,0.13101496028051607
M,"[0.20,0.30)",46,0.31160490850682654,0.24472415217391302,0.06688075633291352,0.009390023216118332,0.00881940536825003,0.000981862676890051,0.11132980466288227
M,"[0.30,0.50)",16,0.30676946763886015,0.36018787500000005,-0.0534184073611399,0.0052564405197649666,0.005927937177841836,0.0003248708483523886,0.05480335546853133
