gender,bin,n,mean_pred,mean_gt,bias,mse,weighted_err,err_contrib,w_mass_frac
F,"[0.00,0.05)",142,0.19241848446217896,0.02321862676056338,0.16919985770161558,0.03234809444323092,0.030489223708271816,0.0020207067874528114,0.06627609829582469
F,"[0.05,0.10)",172,0.1883934643136711,0.0758656976744186,0.1125277666392525,0.013933062960536476,0.013368441759421805,0.0020722824389651615,0.15501301320362632
F,"[0.10,0.15)",156,0.19319651387538406,0.12378988461538462,0.06940662925999944,0.006765145518081385,0.006649464621753427,0.0013451557423731157,0.20229534539856014
F,"[0.15,0.20)",96,0.19947708865130798,0.17173326041666667,0.027743828234641305,0.0053034592996783975,0.004964271148563893,0.0008065709426320915,0.162475198975669
F,"[0.20,0.30)",108,0.2143672126475171,0.24083294444444442,-0.026465731796927322,0.0024461200794209364,0.0026053320834448345,0.0006366808769899376,0.24437609356428083
F,"[0.30,0.50)",53,0.22640274512928288,0.3543146226415095,-0.1279118775122266,0.018113686688300292,0.01890738700831485,0.00320601690815134,0.16956425056203897
M,"[0.00,0.05)",828,0.21208845352604033,0.018468322463768116,0.19362013106227222,0.04159296345582799,0.04017240420933227,0.014997567552087683,0.3733300967982311
M,"[0.05,0.10)",199,0.22262144973791365,0.0708087688442211,0.15181268089369254,0.028238040296818794,0.02749178055869229,0.0049590822259511945,0.1803841775676928
M,"[0.10,0.15)",111,0.2292145615359776,0.12103036036036036,0.10818420117561725,0.015666377776566192,0.015437851937023007,0.0023023642676616852,0.1491376052221464
M,"[0.15,0.20)",73,0.234192931270355,0.1728620821917808,0.061330849078574196,0.008635628033633389,0.008451019202748367,0.001107209945177956,0.13101496028051607
M,"[0.20,0.30)",46,0.2330706143255112,0.24472415217391302,-0.011653537848401813,0.006052388729686562,0.005750331717348407,0.0006401833068391745,0.11132980466288227
M,"[0.30,0.50)",16,0.21604150281131407,0.36018787500000005,-0.14414637218868598,0.02315790584598201,0.02479705980876632,0.001358962083274252,0.05480335546853133
