gender,bin,n,mean_pred,mean_gt,bias,mse,weighted_err,err_contrib,w_mass_frac
F,"[0.00,0.05)",142,0.038974431558245655,0.02321862676056338,0.015755804797682276,0.0014667617253953072,0.00153609042369579,0.00010180607991213718,0.06627609829582469
F,"[0.05,0.10)",172,0.03762541290502692,0.0758656976744186,-0.03824028476939168,0.0018419100976774575,0.001987492718335281,0.000308087234989418,0.15501301320362632
F,"[0.10,0.15)",156,0.03932215990941571,0.12378988461538462,-0.08446772470596892,0.0074483377740506285,0.0076499477383871976,0.001547548820017972,0.20229534539856014
F,"[0.15,0.20)",96,0.04076153223016296,0.17173326041666667,-0.1309717281865037,0.017697507210267038,0.01794398216458136,0.002915452072606212,0.162475198975669
F,"[0.20,0.30)",108,0.045425779372468285,0.24083294444444442,-0.19540716507197614,0.03901552104430655,0.04013930468051733,0.009809086476211279,0.24437609356428083
F,"[0.30,0.50)",53,0.048965475059438705,0.3543146226415095,-0.30534914758207077,0.0944404618081853,0.09635206774140213,0.016337866156673667,0.16956425056203897
M,"[0.00,0.05)",828,0.04173166910579156,0.018468322463768116,0.023263346642023446,0.0012198670045926753,0.0010588560935408872,0.00039530284789701626,0.3733300967982311
M,"[0.05,0.10)",199,0.04598634013018211,0.0708087688442211,-0.024822428714038995,0.0014111186007672272,0.0014869519044195293,0.00026822259636143136,0.1803841775676928
M,"[0.10,0.15)",111,0.04890336140137692,0.12103036036036036,-0.07212699895898345,0.006062069084678326,0.00624841565957806,0.0009318737479020302,0.1491376052221464
M,"[0.15,0.20)",73,0.050541319571207444,0.1728620821917808,-0.12232076262057337,0.01603172622905057,0.01627293516757655,0.002131997954627455,0.13101496028051607
M,"[0.20,0.30)",46,0.04754100808939906,0.24472415217391302,-0.19718314408451396,0.0398557958018734,0.04076811023043303,0.004538705748428962,0.11132980466288227
M,"[0.30,0.50)",16,0.043991003393304154,0.36018787500000005,-0.3161968716066959,0.10190245405828521,0.10518577713600256,0.005764533534618064,0.05480335546853133
