gender,bin,n,mean_pred,mean_gt,bias,mse,weighted_err,err_contrib,w_mass_frac
F,"[0.00,0.05)",142,0.2826712261678619,0.02321862676056338,0.25945259940729853,0.06960508583161353,0.06786247964540415,0.004497660371577208,0.06627609829582469
F,"[0.05,0.10)",172,0.28245735872356836,0.0758656976744186,0.20659166104914978,0.04374650812688748,0.042840624803055394,0.006640854338247626,0.15501301320362632
F,"[0.10,0.15)",156,0.28997392449755777,0.12378988461538462,0.16618403988217315,0.029125136519396595,0.028840164836311948,0.005834231106913134,0.20229534539856014
F,"[0.15,0.20)",96,0.2954184659802443,0.17173326041666667,0.12368520556357762,0.018262522704802144,0.017852999894320463,0.002900669710142315,0.162475198975669
F,"[0.20,0.30)",108,0.3128202424954391,0.24083294444444442,0.07198729805099469,0.00681130808388805,0.006528950989548299,0.001595519537898459,0.24437609356428083
F,"[0.30,0.50)",53,0.3254693407381951,0.3543146226415095,-0.028845281903314368,0.0024626277676276336,0.0026972377548120053,0.0004573550984823343,0.16956425056203897
M,"[0.00,0.05)",828,0.2914997947094386,0.018468322463768116,0.2730314722456705,0.07793715339477306,0.0764661586631311,0.02854711841549563,0.3733300967982311
M,"[0.05,0.10)",199,0.3045620220729702,0.0708087688442211,0.23375325322874907,0.05917846516463611,0.058160234378449666,0.010491186045500896,0.1803841775676928
M,"[0.10,0.15)",111,0.3126431211045373,0.12103036036036036,0.19161276074417694,0.03980739316039969,0.03936805016726843,0.005871256724211734,0.1491376052221464
M,"[0.15,0.20)",73,0.3145309958615521,0.1728620821917808,0.14166891366977127,0.024085558965515994,0.023778119813375995,0.0031152894228948084,0.13101496028051607
M,"[0.20,0.30)",46,0.31520188611341365,0.24472415217391302,0.07047773393950063,0.01067949149263259,0.009953621205096914,0.0011081347044517623,0.11132980466288227
M,"[0.30,0.50)",16,0.3076984401257603,0.36018787500000005,-0.05248943487423974,0.0053567425165251085,0.006063249320845984,0.0003322864078246536,0.05480335546853133
