gender,bin,n,mean_pred,mean_gt,bias,mse,weighted_err,err_contrib,w_mass_frac
F,"[0.00,0.05)",142,0.16097133077593576,0.02321862676056338,0.13775270401537237,0.021363923133735797,0.020342779824634626,0.0013482400752678038,0.06627609829582469
F,"[0.05,0.10)",172,0.15957468393383578,0.0758656976744186,0.08370898625941718,0.00787383216761028,0.007488431670883404,0.0011608043574731024,0.15501301320362632
F,"[0.10,0.15)",156,0.1660155770093088,0.12378988461538462,0.04222569239392418,0.0030152622701899844,0.002944552046245426,0.0005956691732392555,0.20229534539856014
F,"[0.15,0.20)",96,0.17126046456561497,0.17173326041666667,-0.0004727958510516994,0.002838865841965649,0.0026853313668749085,0.000436299748148606,0.162475198975669
F,"[0.20,0.30)",108,0.1850691949346519,0.24083294444444442,-0.055763749509792515,0.004526558660648226,0.004831068504088855,0.0011805976487706683,0.24437609356428083
F,"[0.30,0.50)",53,0.19568532747263775,0.3543146226415095,-0.15862929516887173,0.026691054239809355,0.02763460148962462,0.0046858404911688046,0.16956425056203897
M,"[0.00,0.05)",828,0.1692291982207627,0.018468322463768116,0.1507608757569946,0.025436892980029796,0.024495544974993896,0.009144924176639894,0.3733300967982311
M,"[0.05,0.10)",199,0.18062676911479675,0.0708087688442211,0.10981800027057564,0.015793741959452674,0.015245349145649956,0.002750019767370395,0.1803841775676928
M,"[0.10,0.15)",111,0.18629295407501556,0.12103036036036036,0.0652625937146552,0.006862583037202286,0.0067259711189085756,0.0010030952254673454,0.1491376052221464
M,"[0.15,0.20)",73,0.1893961563579124,0.1728620821917808,0.01653407416613159,0.0034191640911638613,0.003372067357240449,0.0004417912708720822,0.13101496028051607
M,"[0.20,0.30)",46,0.19031643784242983,0.24472415217391302,-0.0544077143314832,0.007204557417893467,0.007240954527487287,0.0008061340531179727,0.11132980466288227
M,"[0.30,0.50)",16,0.1804232995069267,0.36018787500000005,-0.17976457549307334,0.0347015791637162,0.03664959111576957,0.0020085205696938474,0.05480335546853133
